81011449,0,1,TV Show,Medical Police,1/10/2020,2020,TV-MA,Doctors Owen Maestro and Lola Spratt leave Childrens Hospital and join a secret arm of the CDC to investigate and destroy a deadly global virus.,Medical Police,2,"Malin Akerman, Tom Wright, Eric Nenninger, Megan Le, Brian Huskey, Beth Dover, Jason Schwartzman, Erinn Hayes, Lake Bell, Rob Huebel, Michael Cera, Ken Marino, Sarayu Blue, Rob Corddry, Zandy Hartig, Fred Melamed","Crime TV Shows, TV Comedies, TV Action & Adventure","",United States
81062580,0,1,TV Show,Nailed It! Germany,1/17/2020,2020,TV-14,"Home cooks try – and inevitably fail – to re-create spectacular confections on this comical competition show, all for a sweet 5,000 euros.",Nailed It! Germany,2,"Angelina Kirsch, Bernd Siefert","International TV Shows, Reality TV","",""
68141,145,1,Movie,Ghost Stories,1/1/2020,2020,TV-MA,"\"The directors of Emmy-nominated \"\"Lust Stories\"\" (Zoya Akhtar",Ghost Stories,1,"","","",""
81044551,0,1,TV Show,The Circle,1/1/2020,2020,TV-MA,"Status and strategy collide in this social experiment and competition show where online players flirt, befriend and catfish their way toward $100,000.",The Circle,2,Michelle Buteau,Reality TV,"",""
81060049,66,1,Movie,Leslie Jones: Time Machine,1/14/2020,2020,TV-MA,"From trying to seduce Prince to battling sleep apnea, Leslie Jones traces her evolution as an adult in a joyfully raw and outrageous stand-up special.",Leslie Jones,1,Leslie Jones,Stand-Up Comedy,"D.B. Weiss, David Benioff",United States
81074060,0,1,TV Show,Until Dawn,1/10/2020,2020,TV-MA,France’s funniest comics carry out ghastly tasks as they try to outlast – and outwit – one another while overnighting in haunted locations.,Until Dawn,2,"Audrey Pirault, Mcfly, Bérengère Krief, Tania Dutel, Alban Ivanov, Lola Dubini, Guillaume Bats, Thomas Vandenberghe, Noom Diawara, Elhadj Gaye, Ahmed Sylla, Carlito, Natoo, Jeanfi Janssens, Ornella Fleury, Monsieur Poulpe, Anne-Sophie Girard, Jason Brokerss, Hakim Jemili, Laurie Peret, Issa Doumbia, Fadily Camara, Djimo, Jhon Rachid","TV Comedies, Reality TV, International TV Shows","",France
80197991,0,1,TV Show,"Nisman: The Prosecutor, the President, and the Spy",1/1/2020,2020,TV-MA,"This docuseries details the suspicious death of Alberto Nisman, investigator of the 1994 bombing of the Argentine Israelite Mutual Association building.",Nisman,2,"","Crime TV Shows, International TV Shows, Docuseries",Justin Webster,""
80201590,0,1,TV Show,Spinning Out,1/1/2020,2020,TV-MA,"A figure skating Olympic hopeful struggles to balance love, family and fragile mental health as her dream of winning takes a dizzying hold.",Spinning Out,2,"Kaya Scodelario, Amanda Zhou, January Jones, Willow Shields, Evan Roderick, Mitchell Edwards, Svetlana Efremova, Kaitlyn Leeb, Will Kemp, Sarah Wright Olsen, David James Elliott, Johnny Weir",TV Dramas,"",""
80237329,0,1,TV Show,AJ and the Queen,1/10/2020,2020,TV-14,"While traveling across the country in a run-down RV, drag queen Ruby Red discovers an unlikely sidekick in AJ: a tough-talking 10-year-old stowaway.",AJ and the Queen,2,"RuPaul Charles, Katerina Tannenbaum, Josh Segarra, Michael-Leon Wooley, Tia Carrere, Izzy G.","TV Comedies, TV Dramas","",United States
81062828,0,1,TV Show,Killer Inside: The Mind of Aaron Hernandez,1/15/2020,2020,TV-MA,"Via interviews with friends, players and insiders, this docuseries examines how Aaron Hernandez went from an NFL star to a convicted killer.",Killer Inside,2,Aaron Hernandez,"Docuseries, Crime TV Shows","",United States
